"code","r_value","g_value","b_value","name","abbreviation"
1,0.0,0.0,0.0,"Black","Bla"
2,0.0,0.0,0.5,"Navy","N"
3,0.0,0.0,1.0,"Blue","Blu"
4,0.0,0.5,0.0,"Green","G"
5,0.0,0.5,0.5,"Teal","T"
6,0.0,0.5,1.0,"Dodger Blue","DB"
7,0.0,1.0,0.0,"Lime","L"
8,0.0,1.0,0.5,"Spring Green","SG"
9,0.0,1.0,1.0,"Aqua","A"
10,0.5,0.0,0.0,"Maroon","Mar"
11,0.5,0.0,0.5,"Purple","P"
12,0.5,0.0,1.0,"Electric Indigo","EI"
13,0.5,0.5,0.0,"Olive","O"
14,0.5,0.5,0.5,"Gray","G"
15,0.5,0.5,1.0,"Light Slate Blue","LSB"
16,0.5,1.0,0.0,"Chartreuse","C"
17,0.5,1.0,0.5,"Mint Green","MG"
18,0.5,1.0,1.0,"Electric Blue","EB"
19,1.0,0.0,0.0,"Red","R"
20,1.0,0.0,0.5,"Deep Pink","DP"
21,1.0,0.0,1.0,"Magenta","Mag"
22,1.0,0.5,0.0,"Dark Orange","DO"
23,1.0,0.5,0.5,"Mona Lisa","ML"
24,1.0,0.5,1.0,"Fuchsia","F"
25,1.0,1.0,0.0,"Yellow","Y"
26,1.0,1.0,0.5,"Canary","C"
27,1.0,1.0,1.0,"White","W"
